Join Date,Name,Completed
"Dec 27, 2019, 4:42:23 AM",January Commute Challenge,false
"Dec 27, 2019, 4:45:13 AM",January Walk Challenge,true
"Dec 27, 2019, 4:45:53 AM",January 5K,false
"Jan 18, 2020, 3:42:48 PM",Relief Run: Bushfire Fundraiser,false
"Jan 27, 2020, 3:04:30 PM",February Commute Challenge,false
"Jan 27, 2020, 3:04:43 PM",February 5K,false
"Jan 28, 2020, 3:28:47 PM",February Snow Sport Challenge,false
"Feb 25, 2020, 12:33:49 AM",Runderwear 10k Challenge,false
"Feb 25, 2020, 12:34:58 AM",Ladder Six Hour Challenge,true
"Feb 25, 2020, 12:36:09 AM",Crush It 4 Climate,true
"Feb 25, 2020, 12:37:14 AM",March Cycling Distance Challenge,false
"Feb 28, 2020, 5:01:49 PM",March Commute Challenge,false
"Mar 1, 2020, 4:54:45 PM",March 5K,true
"Mar 2, 2020, 5:35:37 AM",March Recovery Challenge,false
"Mar 2, 2020, 5:35:45 AM",March Rollout Challenge,false
"Mar 6, 2020, 8:37:34 PM","SALOMON More Sun, More Run Challenge",false
"Mar 6, 2020, 8:38:26 PM",Le Col Classics Challenge,false
"Mar 9, 2020, 1:50:47 PM",March Gladness with Picky Bars,false
"Mar 26, 2020, 8:04:43 PM",April Workout Challenge,false
"Mar 26, 2020, 8:04:47 PM",April 5K,false
"Mar 26, 2020, 8:06:41 PM",April Gran Fondo,false
"Apr 4, 2020, 6:14:53 PM",April Walk Challenge,false
"Apr 4, 2020, 6:15:04 PM",Le Col Keep Active Challenge,true
"Apr 4, 2020, 6:15:33 PM",The ROKA Feel Good 15,true
"Apr 4, 2020, 6:15:49 PM","Bigfoot, The Social Distancing Champion's 5K",false
"Apr 10, 2020, 10:42:19 PM",Get Active 150 with AICR,false
"Apr 10, 2020, 10:42:46 PM",SOLOdarity,false
"Apr 10, 2020, 10:46:23 PM",GORE® Wear - Create Your Own Epic Moment,false
"Apr 23, 2020, 2:11:36 AM",The Best Of Sunrise 6K by November Project,false
"Apr 25, 2020, 2:08:01 AM",May 5K,false
"Apr 27, 2020, 1:07:32 PM",May – Ride On Challenge,false
"Apr 29, 2020, 7:37:53 PM",ROKA Together 20,true
"Apr 29, 2020, 7:38:56 PM",May Indoor Workout Challenge,false
"Apr 29, 2020, 7:39:00 PM",May Walk Challenge,false
"Apr 29, 2020, 7:39:19 PM",Sufferfest Beer Challenge,false
"Apr 29, 2020, 7:39:28 PM",Honey Stinger 50 Plus,false
"Apr 29, 2020, 7:39:36 PM",#WeAreAmplified by Amp Human,false
"May 5, 2020, 5:31:42 PM",5K for the Frontlines,false
"May 5, 2020, 5:31:43 PM",Allbirds Dasher 5k,false
"May 12, 2020, 12:56:08 AM",Run For Heroes Faster 5k Friday Week 1,false
"May 12, 2020, 12:56:09 AM",Run For Heroes Faster 5k Friday Week 2,false
"May 12, 2020, 12:56:10 AM",Run For Heroes Faster 5k Friday Week 3,false
"May 14, 2020, 1:57:53 PM",Alaska Airlines Miles on the Ground,true
"May 18, 2020, 7:44:45 PM",1 Hour Acceptance Challenge by GiGi's Playhouse,true
"May 18, 2020, 7:45:08 PM",ROKA Breakthrough 30,true
"May 18, 2020, 7:45:25 PM",Le Col Fit for 300 Challenge,true
"May 29, 2020, 12:53:30 AM",June Gran Fondo,false
"May 29, 2020, 12:53:35 AM",June Cycling Distance Challenge,false
"May 31, 2020, 9:08:48 PM",June 5K,false
"May 31, 2020, 9:14:07 PM",Nuzest Thrive vs Survive Challenge,true
"May 31, 2020, 9:15:05 PM",Nuun Podium Series Challenge,false
"May 31, 2020, 9:15:27 PM",June Cycling Climbing Challenge,false
"May 31, 2020, 9:15:42 PM",June Cycling Challenge,false
"May 31, 2020, 9:18:13 PM",May Cycling Climbing Challenge,false
"May 31, 2020, 9:18:31 PM",June - July Walk Challenge,false
"May 31, 2020, 9:18:56 PM",June Recovery Challenge,false
"May 31, 2020, 9:19:29 PM",Together #forStJude 5K,false
"Jun 8, 2020, 5:50:56 PM",CLIF® Builders® Challenge,false
"Jun 8, 2020, 5:51:21 PM",Picky Bars Summer Solstice Century,true
"Jun 16, 2020, 3:58:15 PM",ROKA Forward Together 200,true
"Jul 2, 2020, 2:03:47 PM",Summer of Skratch,false
"Jul 2, 2020, 2:04:02 PM",HOKA Ekiden Strava Challenge,false
"Jul 2, 2020, 2:04:29 PM",Le Col Faster Further 400 Challenge,true
"Jul 2, 2020, 2:04:36 PM",PowerDot Grand Tour,false
"Jul 2, 2020, 2:04:55 PM",July 5K,false
"Jul 2, 2020, 2:05:58 PM",Trek Century Challenge,false
"Jul 2, 2020, 2:06:04 PM","You, But Faster, with Saucony",false
"Jul 12, 2020, 11:06:55 PM",Amp Human Love Your Trail Challenge,true
"Jul 28, 2020, 9:05:42 PM",Le Col Flat Out For 5,true
"Jul 28, 2020, 9:06:02 PM",August 5K,false
"Jul 28, 2020, 9:06:08 PM",August Cycling Challenge,false
"Jul 28, 2020, 9:06:51 PM",August Water Sport Challenge,false
"Jul 28, 2020, 9:07:01 PM",August Walk Challenge,false
"Jul 28, 2020, 9:07:08 PM",LG Get Started Virtual 5K,false
"Jul 28, 2020, 9:07:17 PM",Sweaty Betty 3 week 30km (20 mile),false
"Jul 28, 2020, 9:07:27 PM",Kyoku Recover to Improve,false
"Jul 28, 2020, 9:07:34 PM",Arc’teryx Familiar Ground,false
"Aug 25, 2020, 5:11:47 AM",ROKA Le Défi 100: The Sequel,false
"Sep 2, 2020, 8:25:18 PM",September 5K,false
"Sep 2, 2020, 8:25:29 PM",September Gran Fondo,false
"Sep 2, 2020, 8:25:37 PM",September Walk Challenge,false
"Sep 2, 2020, 8:25:46 PM",Rapha #Womens100,false
"Sep 2, 2020, 8:25:59 PM",St. Jude Walk/Run 300 Challenge,false
"Sep 2, 2020, 8:26:18 PM",Dempsey Challenge presented by Amgen Oncology,false
"Sep 2, 2020, 8:26:23 PM",Therabody Better Together 180,false
"Sep 2, 2020, 8:26:24 PM",Breitling Endurance Pro Challenge,false
"Sep 2, 2020, 8:26:34 PM",Pablove Childhood Cancer Challenge,true
"Sep 2, 2020, 8:26:39 PM",Gatorade Endurance Dial It In,false
"Sep 2, 2020, 8:26:46 PM",Le Col Tour Challenge,false
"Sep 7, 2020, 11:37:49 PM",The Vega Power Your Story Challenge,true
"Sep 7, 2020, 11:37:54 PM",CLIF BAR® Epiphany Ride Challenge,false
"Sep 7, 2020, 11:38:31 PM",50 on for 50 off: Movin’ with Verb Energy,false
"Oct 2, 2020, 6:56:30 PM",October Running Challenge,false
"Oct 2, 2020, 6:56:35 PM",October 5K,false
"Oct 2, 2020, 6:56:36 PM",October Gran Fondo,false
"Oct 2, 2020, 6:56:58 PM",October Walk Challenge,false
"Oct 2, 2020, 6:57:04 PM",Le Col Giro Challenge,true
"Oct 2, 2020, 6:57:10 PM",Ride for Challenged Athletes Foundation,false
"Oct 2, 2020, 6:57:19 PM",Bose Frames Tempo Challenge,false
"Oct 2, 2020, 6:57:26 PM",2020 Walk for Hope Wellness Challenge,true
"Oct 2, 2020, 6:57:29 PM",The Sur Six,false
"Oct 2, 2020, 6:57:33 PM",66ºNorth Iceland Challenge,false
"Oct 2, 2020, 6:57:41 PM",KOHLER Run for Safe Water,true
"Oct 2, 2020, 6:57:49 PM",Pat's Run 42 in 40 Challenge,false
"Oct 6, 2020, 1:41:01 AM",Allbirds Rise Up for Climate Action,false
"Oct 6, 2020, 1:41:07 AM",ROKA Transform 200,true
"Oct 20, 2020, 5:27:18 PM",Velocio: A Better Way Every Day,false
"Oct 20, 2020, 5:28:06 PM",2020 Children's Rights Challenge,false
"Oct 20, 2020, 5:28:25 PM",The Nuun 10-10-2020 Challenge,false
"Oct 20, 2020, 5:28:40 PM",The Built Bar 260 Challenge,false
"Oct 20, 2020, 5:29:02 PM",The November Project Summit Streak presented by Brooks,false
"Oct 20, 2020, 5:29:20 PM",REI x On 10K Challenge,false
"Oct 20, 2020, 5:29:43 PM",Exercise Your Right To Vote with Picky Bars,false
