Follower Athlete ID,Follow Status,Created At
9256694,Accepted,"Aug 3, 2017, 6:21:45 PM"
326118,Accepted,"Aug 25, 2017, 5:47:03 PM"
25854658,Accepted,"Oct 25, 2017, 12:54:24 PM"
24230472,Accepted,"Dec 18, 2017, 2:03:20 AM"
14583874,Accepted,"Aug 2, 2018, 1:14:47 AM"
34985232,Accepted,"Sep 19, 2018, 3:22:22 PM"
364153,Accepted,"Sep 30, 2018, 9:19:45 PM"
26819509,Accepted,"Dec 1, 2018, 2:24:18 AM"
8455360,Accepted,"Dec 7, 2019, 7:02:46 PM"
5622241,Accepted,"Feb 27, 2020, 7:25:50 PM"
10454894,Accepted,"Mar 27, 2020, 1:51:15 AM"
1043774,Accepted,"May 30, 2020, 2:27:43 AM"
61050948,Accepted,"Jun 11, 2020, 5:25:52 PM"
