Following Athlete ID,Follow Status,Created At
9256694,Accepted,"Aug 6, 2017, 4:21:06 PM"
326118,Accepted,"Aug 16, 2017, 9:40:13 PM"
364153,Accepted,"Aug 16, 2017, 9:40:33 PM"
5143231,Accepted,"Aug 16, 2017, 9:40:34 PM"
24793623,Accepted,"Sep 6, 2017, 1:26:59 AM"
34985232,Accepted,"Jul 15, 2019, 8:20:45 PM"
8455360,Accepted,"Dec 7, 2019, 11:58:58 PM"
24230472,Accepted,"Feb 24, 2020, 9:49:05 PM"
13479304,Accepted,"Feb 24, 2020, 9:50:32 PM"
5622241,Accepted,"Feb 24, 2020, 9:51:27 PM"
990162,Accepted,"Feb 24, 2020, 9:52:44 PM"
10454894,Accepted,"Mar 26, 2020, 10:08:35 PM"
1043774,Accepted,"Jun 16, 2020, 3:57:49 PM"
43099756,Accepted,"Oct 28, 2020, 1:36:40 PM"
